Client_postcode,Purchased
AB39 3RW,1
AL1 5LY,1
AL5 1BA,1
AL5 5JG,1
AL6 9QA,1
AL7 4FH,1
B13 8LJ,1
B14 5HF,1
B14 6HQ,1
B16 8UU,1
B17 0BA,1
B17 0JJ,1
B29 7SD,1
B30 1DX,1
B35 6BT,1
B36 9AP,1
B38 9AJ,1
B38 8RH,1
B45 9SP,1
B60 4BF,1
B60 4DZ,1
B61 0LG,1
B61 0RS,1
B62 0DP,1
B62 0HP,1
B63 3QR,1
B67 5HZ,1
B67 7NH,1
b68 9pu,1
B74 3NL,1
b74 4dx,1
B76 2RB,1
B76 2SJ,1
B77 4LF,1
B90 4YG,1
B94 6PX,1
B96 6AR,1
B97 4PL,1
B97 5AA,1
B98 7UZ,1
ba1 2qx,1
BA1 3RZ,1
BA1 4HG,1
BA1 7QZ,1
BA11 1NA,1
BA12 6RT,1
BA12 9QL,1
BA13 3XY,1
BA13 4HS,1
BA13 3LU,1
BA13 4DG,1
BA14 9EG,1
BA14 9DB,1
BA15 1BW,1
BA15 1EA,1
BA15 1FJ,1
BA15 2EA,1
ba16 0en,1
BA2 3BB,1
BA2 3DF,1
BA2 4PT,1
BA2 4RS,1
BA2 5ED,1
BA2 8AS,1
BA2 8HF,1
BA21 3EX,1
ba21 5nh,1
BA22 8RD,1
BA33RX,1
BA8 0RB,1
BA8 0RN,1
BB6 7JA,1
BH16 5PU,1
BH21 3PH,1
BH24 1HR,1
BH24 2EH,1
BH31 6JN,1
BH6 5QF,1
BH7 6RZ,1
BH8 8ES,1
BH9 1LG,1
bh9 2bt,1
BH9 3HP,1
BL5 2SL,1
bn1 2lf,1
BN1 3FF,1
BN16 1QN,1
BN16 4GH,1
bn21 2ed,1
BN3 4LH,1
BN43 5GL,1
BN7 2EF,1
BR2 9BH,1
BR3 3QT,1
BS1 5JQ,1
BS10 7RF,1
BS10 7XB,1
bs10 5be,1
BS11 9RF,1
BS13 8ER,1
BS13 9AU,1
BS137DB,1
BS15 4SW,1
BS154PY,1
BS154TX,1
BS16 1UX,1
BS16 5AY,1
BS16 7DN,1
BS161UH,1
BS166AG,1
BS169QX,1
bs2 0fe,1
BS2 0FE,1
BS207PR,1
BS21 6JW,1
BS217HW,1
BS217LS,1
bs22 8NQ,1
BS228XR,1
bs23 3ej,1
BS23 3JL,1
BS248PH,1
BS25 1SL,1
BS251TF,1
bs273rl,1
BS3 1PP,1
BS3 3DW,1
BS3 3DW,1
BS3 3PG,1
BS3 4NY,1
BS3 5DZ,1
BS30 7DG,1
bs32 0bh,1
BS32 0DZ,1
BS32 8DP,1
BS32 9BL,1
bs32 9dw,1
BS320DA,1
BS328DQ,1
BS345BX,1
BS347EF,1
bs351dr,1
bs352eu,1
BS353QS,1
BS36 2PF,1
BS36 2SJ,1
BS362RQ,1
BS374XL,1
BS379TS,1
BS39 6HF,1
BS395XD,1
BS43EU,1
BS48 1LE,1
BS48 3LR,1
BS481PP,1
BS49 4EU,1
BS49 4HY,1
BS49 4JH,1
BS494AW,1
BS494NQ,1
BS5 7DG,1
BS5 8LF,1
BS6 5QD,1
BS6 6DJ,1
BS6 6EX,1
BS6 6LX,1
Bs6 6nw,1
bs6 7be,1
bs7 0qu,1
BS7 8QN,1
BS7 8TZ,1
BS7 9PS,1
BS8 4EF,1
BS8 4LA,1
BS8 4NP,1
BS9 1NR,1
BS9 3LQ,1
BT51 5EL,1
CA1 2FH,1
CA1 2FH,1
CA1 3TU,1
CA157EE,1
CA2 5HA,1
CA28 6SG,1
CA28 8TL,1
CA3 0GX,1
cardiff,1
CB23 7XE,1
CB243ED,1
CB249XP,1
CF10 1DJ,1
CF10 1FQ,1
CF10 2FF,1
CF10 2FP,1
CF10 3DD,1
CF10 3EE,1
CF10 4BJ,1
CF10 4BR,1
CF10 4BR,1
CF10 4BR,1
CF10 4DA,1
CF10 4DH,1
CF10 4EB,1
CF10 4EB,1
CF10 4NJ,1
CF10 4NP,1
CF10 4QL,1
CF10 4RD,1
CF10 5AU,1
CF10 5BT,1
CF10 5BX,1
CF10 5EE,1
CF10 5NP,1
CF10 5NQ,1
CF10 5NT,1
CF101DF,1
cf102fg,1
CF103AZ,1
CF103GA,1
CF104NS,1
CF105AU,1
CF105LL,1
cf105nf,1
cf105nn,1
CF105NR,1
CF105SF,1
CF11 0AB,1
CF11 0AP,1
CF11 0AT,1
CF11 0JB,1
CF11 0JN,1
CF11 0JQ,1
Cf11 0JU,1
cf11 0sf,1
CF11 0SG,1
CF11 0SJ,1
CF11 6AN,1
CF11 6AN,1
CF11 6LN,1
CF11 6LN,1
CF11 6NT,1
CF11 6QX,1
CF11 6SW,1
CF11 6SZ,1
CF11 7BY,1
CF11 7EB,1
CF11 7JT,1
CF11 8AZ,1
CF11 8AZ,1
CF11 8BW,1
CF11 8EN,1
CF11 9AH,1
CF11 9BU,1
CF11 9ET,1
cf11 9jd,1
CF11 9NQ,1
CF11 9NR,1
CF110AB,1
CF110AT,1
CF110JU,1
CF116AR,1
CF116JP,1
cf116lb,1
CF116NS,1
CF117BG,1
CF117DJ,1
CF117JT,1
CF117LR,1
CF119BP,1
CF119DJ,1
CF119DT,1
CF119FR,1
CF119NU,1
cf14 0nn,1
CF14 0RD,1
CF14 0RF,1
